City,Local Time,Temperature_F,Weather_Type,Temperature_Desc
Jakarta,Thu 1:14 pm,91,Scattered clouds,Hot
Jerusalem,Thu 9:14 am,83,No weather data,Warm
Kampala,Thu 9:14 am,79,Passing clouds,Warm
Kathmandu,Thu 11:59 am,82,Scattered clouds,Warm
Kigali,Thu 8:14 am,70,Passing clouds,Mild
Kingston,Thu 1:14 am,84,No weather data,Warm
Kingstown,Thu 2:14 am,81,Passing clouds,Warm
Kinshasa,Thu 7:14 am,73,Clear,Mild
Kuala Lumpur,Thu 2:14 pm,90,Passing clouds,Hot
Kuwait City,Thu 9:14 am,91,Scattered clouds,Hot
Kyiv,Thu 9:14 am,58,Passing clouds,Cool
Libreville,Thu 7:14 am,75,Partly cloudy,Mild
Lilongwe,Thu 8:14 am,57,Fog,Cool
Lima,Thu 1:14 am,71,Overcast,Mild
Lisbon,Thu 7:14 am,63,Sprinkles. Passing clouds,Mild
Ljubljana,Thu 8:14 am,63,Passing clouds,Mild
Lomé,Thu 6:14 am,77,Passing clouds,Warm
London,Thu 7:14 am,66,Light rain. Partly sunny,Mild
Luanda,Thu 7:14 am,70,Overcast,Mild
Luxembourg,Thu 8:14 am,63,Sunny,Mild
Madrid,Thu 8:14 am,61,Overcast,Cool
Majuro,Thu 6:14 pm,87,Scattered clouds,Warm
Male,Thu 11:14 am,86,Scattered showers. Broken clouds,Warm
Managua,Thu 12:14 am,81,Passing clouds,Warm
Manama,Thu 9:14 am,99,Passing clouds,Extremely hot
Manila,Thu 2:14 pm,88,Partly sunny,Warm
Mbabane,Thu 8:14 am,68,Partly sunny,Mild
Mexico City,Thu 12:14 am,63,Passing clouds,Mild
Minsk,Thu 9:14 am,57,Sunny,Cool
Monaco,Thu 8:14 am,77,Sunny,Warm
Monrovia,Thu 6:14 am,75,Passing clouds,Mild
Montevideo,Thu 3:14 am,57,Light rain. Overcast,Cool
Moroni,Thu 9:14 am,79,Passing clouds,Warm
Moscow,Thu 9:14 am,53,Partly sunny,Cool
Muscat,Thu 10:14 am,85,No weather data,Warm
N'Djamena,Thu 7:14 am,75,Passing clouds,Mild
Nairobi,Thu 9:14 am,59,Broken clouds,Cool
Nassau,Thu 2:14 am,82,Passing clouds,Warm
New Delhi,Thu 11:44 am,86,Fog,Warm
Ngerulmud,Thu 3:14 pm,85,Overcast,Warm
Niamey,Thu 7:14 am,75,Strong thunderstorms. Passing clouds,Mild
Nicosia,Thu 9:14 am,84,Passing clouds,Warm
North Nicosia,Thu 9:14 am,84,Passing clouds,Warm
Nuku'alofa,Thu 7:14 pm,70,Broken clouds,Mild
Nuuk,Thu 5:14 am,46,Overcast,Cool
Oranjestad,Thu 2:14 am,82,Clear,Warm
Oslo,Thu 8:14 am,55,Sunny,Cool
Ottawa,Thu 2:14 am,63,Passing clouds,Mild
Palikir,Thu 5:14 pm,86,Broken clouds,Warm
Panama,Thu 1:14 am,81,Passing clouds,Warm
Paramaribo,Thu 3:14 am,83,Passing clouds,Warm
Paris,Thu 8:14 am,66,Fog,Mild
Podgorica,Thu 8:14 am,77,Sunny,Warm
Port Louis,Thu 10:14 am,68,Overcast,Mild
Port Vila,Thu 5:14 pm,77,Partly sunny,Warm
Port of Spain,Thu 2:14 am,79,Scattered showers. Passing clouds,Warm
Porto Novo,Thu 7:14 am,79,Passing clouds,Warm
Prague,Thu 8:14 am,59,Sunny,Cool
Praia,Thu 5:14 am,82,Passing clouds,Warm
Pretoria,Thu 8:14 am,54,No weather data,Cool
Pristina,Thu 8:14 am,72,No weather data,Mild
Pyongyang,Thu 3:14 pm,81,Passing clouds,Warm
Quito,Thu 1:14 am,50,Clear,Cool
Rabat,Thu 7:14 am,61,Passing clouds,Cool
Rarotonga,Wed 8:14 pm,70,Clear,Mild
Reykjavik,Thu 6:14 am,46,Mostly cloudy,Cool
Riga,Thu 9:14 am,57,Passing clouds,Cool
Riyadh,Thu 9:14 am,95,Sunny,Extremely hot
Road Town,Thu 2:14 am,,Passing clouds,
Rome,Thu 8:14 am,75,Passing clouds,Mild
Roseau,Thu 2:14 am,82,Passing clouds,Warm
Saint George's,Thu 2:14 am,82,Passing clouds,Warm
Saint John's,Thu 2:14 am,82,Sprinkles. Passing clouds,Warm
Saint-Denis,Thu 10:14 am,81,Sunny,Warm
San Jose,Thu 12:14 am,72,Light rain. Clear,Mild
San Juan,Thu 2:14 am,83,Passing clouds,Warm
San Marino,Thu 8:14 am,72,Passing clouds,Mild
San Salvador,Thu 12:14 am,81,Clear,Warm
Santiago,Thu 2:14 am,48,No weather data,Cool
Santo Domingo,Thu 2:14 am,83,Overcast,Warm
Sarajevo,Thu 8:14 am,64,Sunny,Mild
Seoul,Thu 3:14 pm,91,Scattered clouds,Hot
Singapore,Thu 2:14 pm,90,Sprinkles. Broken clouds,Hot
Skopje,Thu 8:14 am,73,Sunny,Mild
Sofia,Thu 9:14 am,60,Clear,Cool
Sri Jayawardenepura Kotte,Thu 11:44 am,86,Scattered clouds,Warm
Stanley,Thu 3:14 am,39,Mostly cloudy,Chilly
Stockholm,Thu 8:14 am,59,Sunny,Cool
Suva,Thu 6:14 pm,79,Overcast,Warm
São Tomé,Thu 6:14 am,81,Partly cloudy,Warm
Taipei,Thu 2:14 pm,93,Partly sunny,Extremely hot
Tallinn,Thu 9:14 am,63,Sunny,Mild
Tarawa,Thu 6:14 pm,89,Partly sunny,Hot
Tashkent,Thu 11:14 am,65,Clear,Mild
Tbilisi,Thu 10:14 am,71,Overcast,Mild
Tegucigalpa,Thu 12:14 am,75,Passing clouds,Mild
Tehran,Thu 9:44 am,90,Passing clouds,Hot
Tirana,Thu 8:14 am,72,Passing clouds,Mild
Tokyo,Thu 3:14 pm,84,Scattered showers. Partly sunny,Warm
Tunis,Thu 7:14 am,86,Passing clouds,Warm
Ulaanbaatar,Thu 2:14 pm,73,Scattered clouds,Mild
Vaduz,Thu 8:14 am,68,Passing clouds,Mild
Valletta,Thu 8:14 am,81,Passing clouds,Warm
Vatican City,Thu 8:14 am,75,Passing clouds,Mild
Victoria,Thu 10:14 am,82,Passing clouds,Warm
Vienna,Thu 8:14 am,66,Passing clouds,Mild
Vientiane,Thu 1:14 pm,90,Broken clouds,Hot
Vilnius,Thu 9:14 am,59,Sunny,Cool
Warsaw,Thu 8:14 am,59,Sunny,Cool
Washington DC,Thu 2:14 am,76,Overcast,Mild
Wellington,Thu 6:14 pm,52,Broken clouds,Cool
Windhoek,Thu 8:14 am,62,No weather data,Refreshingly cool
Yaoundé,Thu 7:14 am,72,Passing clouds,Mild
Yerevan,Thu 10:14 am,64,Sunny,Mild
Zagreb,Thu 8:14 am,64,Sunny,Mild
