City,Local Time,Temperature,Condition
Palikir,Thu 5:14 pm,86 °F,Broken clouds. Warm.
Bern *,Thu 8:14 am,61 °F,Sunny. Cool.
Panama,Thu 1:14 am,81 °F,Passing clouds. Warm.
Bishkek,Thu 12:14 pm,74 °F,Sunny. Mild.
Paramaribo,Thu 3:14 am,83 °F,Passing clouds. Warm.
Bissau,Thu 6:14 am,77 °F,Passing clouds. Warm.
Paris *,Thu 8:14 am,66 °F,Fog. Mild.
Bogota,Thu 1:14 am,57 °F,Passing clouds. Cool.
Podgorica *,Thu 8:14 am,77 °F,Sunny. Warm.
Brades,Thu 2:14 am,82 °F,Sprinkles. Passing clouds. Warm.
Port Louis,Thu 10:14 am,68 °F,Overcast. Mild.
Brasilia,Thu 3:14 am,66 °F,Clear. Mild.
Port of Spain,Thu 2:14 am,79 °F,Scattered showers. Passing clouds. Warm.
Bratislava *,Thu 8:14 am,68 °F,Sunny. Mild.
Port Vila,Thu 5:14 pm,77 °F,Partly sunny. Warm.
Brazzaville,Thu 7:14 am,73 °F,Clear. Mild.
Porto Novo,Thu 7:14 am,79 °F,Passing clouds. Warm.
Bridgetown,Thu 2:14 am,82 °F,Passing clouds. Warm.
Prague *,Thu 8:14 am,59 °F,Sunny. Cool.
Brussels *,Thu 8:14 am,61 °F,Sunny. Cool.
Praia,Thu 5:14 am,82 °F,Passing clouds. Warm.
Bucharest *,Thu 9:14 am,68 °F,Scattered clouds. Mild.
Pretoria,Thu 8:14 am,54 °F,Cool.
Budapest *,Thu 8:14 am,66 °F,Thundershowers. Broken clouds. Mild.
Pristina *,Thu 8:14 am,72 °F,Mild.
Buenos Aires,Thu 3:14 am,57 °F,Light rain. Clear. Cool.
Pyongyang,Thu 3:14 pm,81 °F,Passing clouds. Warm.
Cairo *,Thu 9:14 am,79 °F,Fog. Warm.
Quito,Thu 1:14 am,50 °F,Clear. Cool.
Canberra,Thu 4:14 pm,61 °F,Passing clouds. Refreshingly cool.
Rabat *,Thu 7:14 am,61 °F,Passing clouds. Cool.
Caracas,Thu 2:14 am,81 °F,Passing clouds. Warm.
Rarotonga,Wed 8:14 pm,70 °F,Clear. Mild.
Castries,Thu 2:14 am,83 °F,Passing clouds. Warm.
Reykjavik,Thu 6:14 am,46 °F,Mostly cloudy. Cool.
Chișinău *,Thu 9:14 am,63 °F,Sprinkles. More clouds than sun. Mild.
Riga *,Thu 9:14 am,57 °F,Passing clouds. Cool.
Conakry,Thu 6:14 am,79 °F,Passing clouds. Warm.
Riyadh,Thu 9:14 am,95 °F,Sunny. Extremely hot.
Copenhagen *,Thu 8:14 am,59 °F,Clear. Cool.
Road Town,Thu 2:14 am,N/A,Passing clouds.
Dakar,Thu 6:14 am,84 °F,Passing clouds. Warm.
Rome *,Thu 8:14 am,75 °F,Passing clouds. Mild.
Damascus,Thu 9:14 am,81 °F,Sunny. Warm.
Roseau,Thu 2:14 am,82 °F,Passing clouds. Warm.
Dhaka,Thu 12:14 pm,87 °F,Partly sunny. Warm.
Saint-Denis,Thu 10:14 am,81 °F,Sunny. Warm.
Dodoma,Thu 9:14 am,65 °F,Passing clouds. Mild.
Saint George's,Thu 2:14 am,82 °F,Passing clouds. Warm.
Doha,Thu 9:14 am,99 °F,Clear. Extremely hot.
Saint John's,Thu 2:14 am,82 °F,Sprinkles. Passing clouds. Warm.
Douglas *,Thu 7:14 am,63 °F,Passing clouds. Mild.
San Jose,Thu 12:14 am,72 °F,Light rain. Clear. Mild.
Dublin *,Thu 7:14 am,61 °F,Fog. Cool.
San Juan,Thu 2:14 am,83 °F,Passing clouds. Warm.
Dushanbe,Thu 11:14 am,88 °F,Clear. Pleasantly warm.
San Marino *,Thu 8:14 am,72 °F,Passing clouds. Mild.
Freetown,Thu 6:14 am,77 °F,Passing clouds. Warm.
San Salvador,Thu 12:14 am,81 °F,Clear. Warm.
Funafuti,Thu 6:14 pm,77 °F,Sprinkles. Overcast. Warm.
Santiago,Thu 2:14 am,48 °F,Cool.
Gaborone,Thu 8:14 am,59 °F,Partly sunny. Cool.
Santo Domingo,Thu 2:14 am,83 °F,Overcast. Warm.
George Town (Cayman Islands),Thu 1:14 am,86 °F,Passing clouds. Warm.
São Tomé,Thu 6:14 am,81 °F,Partly cloudy. Warm.
Georgetown (Guyana),Thu 2:14 am,86 °F,Scattered clouds. Warm.
Sarajevo *,Thu 8:14 am,64 °F,Sunny. Mild.
Gibraltar *,Thu 8:14 am,72 °F,Passing clouds. Mild.
Seoul,Thu 3:14 pm,91 °F,Scattered clouds. Hot.
Gitega,Thu 8:14 am,68 °F,Passing clouds. Mild.
Singapore,Thu 2:14 pm,90 °F,Sprinkles. Broken clouds. Hot.
Gizo,Thu 5:14 pm,83 °F,Overcast. Warm.
Skopje *,Thu 8:14 am,73 °F,Sunny. Mild.
Guatemala City,Thu 12:14 am,66 °F,Partly cloudy. Mild.
Sofia *,Thu 9:14 am,60 °F,Clear. Cool.
Hamilton *,Thu 3:14 am,82 °F,Passing clouds. Warm.
Sri Jayawardenepura Kotte,Thu 11:44 am,86 °F,Scattered clouds. Warm.
Hanoi,Thu 1:14 pm,91 °F,Scattered clouds. Hot.
Stanley,Thu 3:14 am,39 °F,Mostly cloudy. Chilly.
Harare,Thu 8:14 am,50 °F,Clear. Cool.
Stockholm *,Thu 8:14 am,59 °F,Sunny. Cool.
Havana *,Thu 2:14 am,79 °F,Passing clouds. Warm.
Suva,Thu 6:14 pm,79 °F,Overcast. Warm.
Helsinki *,Thu 9:14 am,59 °F,Sunny. Cool.
Taipei,Thu 2:14 pm,93 °F,Partly sunny. Extremely hot.
Honiara,Thu 5:14 pm,90 °F,Overcast. Hot.
Tallinn *,Thu 9:14 am,63 °F,Sunny. Mild.
Islamabad,Thu 11:14 am,84 °F,Haze. Warm.
Tarawa,Thu 6:14 pm,89 °F,Partly sunny. Hot.
Jakarta,Thu 1:14 pm,91 °F,Scattered clouds. Hot.
Tashkent,Thu 11:14 am,65 °F,Clear. Mild.
Jerusalem *,Thu 9:14 am,83 °F,Warm.
Tbilisi,Thu 10:14 am,71 °F,Overcast. Mild.
Kampala,Thu 9:14 am,79 °F,Passing clouds. Warm.
Tegucigalpa,Thu 12:14 am,75 °F,Passing clouds. Mild.
Kathmandu,Thu 11:59 am,82 °F,Scattered clouds. Warm.
Tehran,Thu 9:44 am,90 °F,Passing clouds. Hot.
Kigali,Thu 8:14 am,70 °F,Passing clouds. Mild.
Tirana *,Thu 8:14 am,72 °F,Passing clouds. Mild.
Kingston,Thu 1:14 am,84 °F,Warm.
Tokyo,Thu 3:14 pm,84 °F,Scattered showers. Partly sunny. Warm.
Kingstown,Thu 2:14 am,81 °F,Passing clouds. Warm.
Tunis,Thu 7:14 am,86 °F,Passing clouds. Warm.
Kinshasa,Thu 7:14 am,73 °F,Clear. Mild.
Ulaanbaatar,Thu 2:14 pm,73 °F,Scattered clouds. Mild.
Kuala Lumpur,Thu 2:14 pm,90 °F,Passing clouds. Hot.
Vaduz *,Thu 8:14 am,68 °F,Passing clouds. Mild.
Kuwait City,Thu 9:14 am,91 °F,Scattered clouds. Hot.
Valletta *,Thu 8:14 am,81 °F,Passing clouds. Warm.
Kyiv *,Thu 9:14 am,58 °F,Passing clouds. Cool.
Vatican City *,Thu 8:14 am,75 °F,Passing clouds. Mild.
Libreville,Thu 7:14 am,75 °F,Partly cloudy. Mild.
Victoria,Thu 10:14 am,82 °F,Passing clouds. Warm.
Lilongwe,Thu 8:14 am,57 °F,Fog. Cool.
Vienna *,Thu 8:14 am,66 °F,Passing clouds. Mild.
Lima,Thu 1:14 am,71 °F,Overcast. Mild.
Vientiane,Thu 1:14 pm,90 °F,Broken clouds. Hot.
Lisbon *,Thu 7:14 am,63 °F,Sprinkles. Passing clouds. Mild.
Vilnius *,Thu 9:14 am,59 °F,Sunny. Cool.
Ljubljana *,Thu 8:14 am,63 °F,Passing clouds. Mild.
Warsaw *,Thu 8:14 am,59 °F,Sunny. Cool.
Lomé,Thu 6:14 am,77 °F,Passing clouds. Warm.
Washington DC *,Thu 2:14 am,76 °F,Overcast. Mild.
London *,Thu 7:14 am,66 °F,Light rain. Partly sunny. Mild.
Wellington,Thu 6:14 pm,52 °F,Broken clouds. Cool.
Luanda,Thu 7:14 am,70 °F,Overcast. Mild.
Windhoek,Thu 8:14 am,62 °F,Refreshingly cool.
Luxembourg *,Thu 8:14 am,63 °F,Sunny. Mild.
Yaoundé,Thu 7:14 am,72 °F,Passing clouds. Mild.
Madrid *,Thu 8:14 am,61 °F,Overcast. Cool.
Yerevan,Thu 10:14 am,64 °F,Sunny. Mild.
Majuro,Thu 6:14 pm,87 °F,Scattered clouds. Warm.
Zagreb *,Thu 8:14 am,64 °F,Sunny. Mild.
Male,Thu 11:14 am,86 °F,Scattered showers. Broken clouds. Warm.
